external_id;name;slug
КА-00004336;Аккумулятор Li-ion BTY61 3,7V 3200 mah;draft-9236a7319ca09e0a
КА-00004337;SB-C02 TC  (Tekcell) Литиевый элемент c выводами EHR-2 ,Стр. происх.:КОРЕЯ, РЕСПУБЛИКА;draft-ff5584722f1ee7db
КА-00004338;Аккумулятор ROBITON RTU270MH-1 BL1;draft-cd9ac69bc3cd0b0a
КА-00004339;АККУМУЛЯТОР BC7-12 T2 (BB Battery), КИТАЙ;draft-bfb8bc286ca45044
КА-00004341;Аккумулятор 20FDK Ni-MH HR-4/3AU 4000mAh 24V;draft-396a0ad3a07bcf7a
КА-00004342;Литий-полимерные батареи с контактом XHP-2 3200mah 3,7 В;draft-2b8670d83ff71a9d
КА-00004343;Литий-полимерные батареи 114046 3200mah 3,7 В  с конектором XHP-2/Китай/;draft-d5ab8eaac16ab74b
КА-00004344;Аккумуляторная батарея для ИБП AGM 12В 100Ah / КИТАЙ;draft-ae215e577cf6b00b
КА-00004345;Батарейка Panasonic (PLC GE Fanuc 1S) / Китай /;draft-d212715da908b718
КА-00004346;Аккумуляторы FT 12-100 (Kijo battery );draft-7e98ec27c14c6acc
КА-00004347;Аккумуляторная батарея ReVolter GPL 1255 (12В 55Ач);draft-87cd800b26b58b94
КА-00004348;Аккумулятор для  Makita (1433/1434/1435/1435F/192699-A/1 93158-3) 1300mAh, 14.4V;draft-2186e3c50fbee789
КА-00004349;Аккумулятор 7ROBITON 1500MH2/3A-2 8,4V, стр. происх.: Китай;draft-a13dca7c088b0567
КА-00004350;Аккумуляторная батарея Icom BP-196 NiCd, 1150mAh, 9.6V;draft-4677c0f0b2dce630
КА-00004351;Элемент питания ROBITON STANDARD R-AG13-0-BL3 (0% Hg) AG13 LR44 357 A76 МЦ-1154 BL5,стр.происх.Китай;draft-6769bdfe7bb671b7
КА-00004352;Аккумуляторная батарея DT 12045 Delta , E14A817 /Китай/;draft-a52a7266474a8a49
КА-00004353;Аккумуляторная батарея DT 12045 Delta , 3UGHE5R  /Китай/;draft-ac97a026c7a11b46
КА-00004354;Эл.питания Perfeo CR1220/5BL Lithium Cell Китай;draft-8e5ae7b1d6e77b8c
КА-00004355;Аккумулятор HETRONIC Ni-Mh 68300900 3,6V 2.1Ah / Китай/;draft-d185e76e3d3c9189
КА-00004356;Аккумулятор HETRONIC Ni-Mh 68301000 3,6V 2.75Ah / Китай/;draft-d33d4945bc4806b2
КА-00004357;Аккумулятор 2Samsung INR18650-35E 3450mAh-10A 2S 7,4В;draft-a45b57d2de5afe8c
КА-00004358;ИБП GAMMA 1.5К (IN1500RM-GA);draft-e394dbfb1eeb16cc
КА-00004359;Батарейка Ergolux R14 SR2 (R14SR2, 1.5В), Стр. происх. Китай;draft-51bb119f7646aa88
КА-00004360;Транзистор VS-GT175DA120U;draft-d34991fe99e607f1
КА-00004361;Транзистор APT100GF60JU2;draft-52c84020fc531e06
КА-00004362;Транзистор VS-GB90DA60U;draft-b86b4284f2b9b3d7
