Bitrix ID раздела,Родитель ID,Название,Путь на сайте,Ссылка на сайт,🟥 1С-группа (заполнить)
729,482,Neusoft,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/neusoft,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/neusoft/,
730,482,Newport,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/newport,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/newport/,
731,482,Nihon Kohden,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/nihon-kohden,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/nihon-kohden/,
732,482,Nikkiso,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/nikkiso,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/nikkiso/,
733,482,Nonin,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/nonin,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/nonin/,
734,482,Nova,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/nova,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/nova/,
735,482,Ohmeda,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ohmeda,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/ohmeda/,
736,482,Omron,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/omron,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/omron/,
737,482,Optomed,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/optomed,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/optomed/,
738,482,OSEN,akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/osen,https://microchips.by/catalog/akkumulyatory/promyshlennye/dlya-meditsinskoy-tekhniki/osen/,
